"OPE_ID","Institution_Name","Institution_City","Institution_State","Institution Type And Control","Total_Awards","Total_Recipients"
"569200","REID STATE TECHNICAL COLLEGE","EVERGREEN","AL","Public 2 Year","1161290","371"
"4211000","SALON PROFESSIONAL ACADEMY (THE)","HUNTSVILLE","AL","Proprietary 2 Year","158452","43"
"103600","SAMFORD UNIVERSITY","BIRMINGHAM","AL","Private 4 Year","1723717","414"
"4067300","SELMA UNIVERSITY","SELMA","AL","Private 4 Year","1578635","379"
"569100","SHELTON STATE COMMUNITY CLG","TUSCALOOSA","AL","Public 2 Year","9991989","3024"
"103800","SNEAD STATE COMMUNITY COLLEGE","BOAZ","AL","Public 2 Year","6201436","1614"
"2270400","SOUTHEASTERN BIBLE COLLEGE","BIRIMINGHAM","AL","Private 4 Year","432853","107"
"3459300","SOUTHEASTERN SCHOOL OF COSMETOLOGY","MIDFIELD","AL","Private 2 Year","374670","86"
"104000","SOUTHERN UNION STATE COMMUNITY CLG","WADLEY","AL","Public 2 Year","10109147","2617"
"104100","SPRING HILL COLLEGE","MOBILE","AL","Private 4 Year","1878670","428"
"104400","STILLMAN COLLEGE","TUSCALOOSA","AL","Private 4 Year","3271487","702"
"104600","TALLADEGA COLLEGE","TALLADEGA","AL","Private 4 Year","3719591","819"
"104700","TROY UNIVERSITY","TROY","AL","Public 4 Year","27063555","7301"
"105000","TUSKEGEE UNIVERSITY","TUSKEGEE","AL","Private 4 Year","7106238","1560"
"2170600","UNITED STATES SPORTS ACADEMY","DAPHNE","AL","Private 4 Year","220859","89"
"4197500","UNIVERSITY ACADEMY OF HAIR DESIGN","NORTHPORT","AL","Proprietary 2 Year","159035","39"
"105100","UNIVERSITY OF ALABAMA (THE)","TUSCALOOSA","AL","Public 4 Year","26374125","6491"
"105200","UNIVERSITY OF ALABAMA AT BIRMINGHAM","BIRMINGHAM","AL","Public 4 Year","17935112","4402"
"105500","UNIVERSITY OF ALABAMA IN HUNTSVILLE","HUNTSVILLE","AL","Public 4 Year","7476965","1865"
"102900","UNIVERSITY OF MOBILE","MOBILE","AL","Private 4 Year","2919254","734"
"100400","UNIVERSITY OF MONTEVALLO","MONTEVALLO","AL","Public 4 Year","4809324","1137"
"101600","UNIVERSITY OF NORTH ALABAMA","FLORENCE","AL","Public 4 Year","9426780","2302"
"105700","UNIVERSITY OF SOUTH ALABAMA","MOBILE","AL","Public 4 Year","20351974","4918"
"102400","UNIVERSITY OF WEST ALABAMA","LIVINGSTON","AL","Public 4 Year","4746621","1118"
"3010600","VIRGINIA COLLEGE","BIRMINGHAM","AL","Proprietary 4 Year","84146639","23120"
"4149200","XCELL ACADEMY-A PAUL MITCHELL PARTNER SC","HOOVER","AL","Proprietary 2 Year","477813","122"
"3065100","ABC BEAUTY COLLEGE","ARKADELPHIA","AR","Proprietary 2 Year","149075","40"
"4241800","ACADEMY OF PROFESSIONAL COSMETOLOGY","ROGERS","AR","Proprietary 2 Year","85032","28"
"108700","ARKANSAS BAPTIST COLLEGE","LITTLE ROCK","AR","Private 4 Year","3969570","1025"
"3997300","ARKANSAS BEAUTY COLLEGE","RUSSELLVILLE","AR","Proprietary 2 Year","124489","32"
"3005100","ARKANSAS BEAUTY SCHOOL","LITTLE ROCK","AR","Proprietary 2 Year","223641","69"
"3007600","ARKANSAS BEAUTY SCHOOL-CONWAY","CONWAY","AR","Proprietary 2 Year","81740","26"
"3023400","ARKANSAS COLLEGE OF BARBERING","NORTH LITTLE ROCK","AR","Proprietary 2 Year","910193","238"
"1286000","ARKANSAS NORTHEASTERN COLLEGE","BLYTHEVILLE","AR","Public 2 Year","2186272","664"
"109000","ARKANSAS STATE UNIVERSITY","STATE UNIVERSITY","AR","Public 4 Year","24044172","5900"
"109100","ARKANSAS STATE UNIVERSITY - BEEBE","BEEBE","AR","Public 2 Year","5250568","1318"
"4203400","ARKANSAS STATE UNIVERSITY - NEWPORT","NEWPORT","AR","Public 2 Year","4081504","1052"
"108900","ARKANSAS TECH UNIVERSITY","RUSSELLVILLE","AR","Public 4 Year","21102533","5260"
"2363500","ARTHUR'S BEAUTY COLLEGE","FORT SMITH","AR","Proprietary 2 Year","415150","109"
"2538500","ARTHUR'S BEAUTY COLLEGE","JACKSONVILLE","AR","Proprietary 2 Year","543571","155"
"3105200","BAPTIST HEALTH SCHOOLS LITTLE ROCK","LITTLE ROCK","AR","Private 2 Year","1768063","476"
"4238900","BEAUTY SCHOOL, (THE)","MOUNTAIN HOME","AR","Proprietary 2 Year","3955","2"
"2052200","BLACK RIVER TECHNICAL COLLEGE","POCAHONTAS","AR","Public 2 Year","4911486","1311"
"2341700","CAREER ACADEMY OF HAIR DESIGN","SPRINGDALE","AR","Proprietary 2 Year","676390","187"
"109300","CENTRAL BAPTIST COLLEGE","CONWAY","AR","Private 4 Year","1591642","398"
"997600","COLLEGE OF THE OUACHITAS","MALVERN","AR","Public 2 Year","2461637","663"
"2220900","COSSATOT COMMUNITY COLLEGE","DE QUEEN","AR","Public 2 Year","2639349","730"
"3912300","CROSSETT SCHOOL OF COSMETOLOGY","CROSSETT","AR","Proprietary 2 Year","101976","26"
"109500","CROWLEYS RIDGE COLLEGE","PARAGOULD","AR","Private 4 Year","462319","109"
"704400","CROWLEYS RIDGE TECHNICAL INSTITUTE","FORREST CITY","AR","Public 2 Year","788093","212"
"4220000","DESIGNER BARBER & STYLIST SCHOOL","FT SMITH","AR","Proprietary 2 Year","218958","53"
"1226000","EAST ARKANSAS COMMUNITY COLLEGE","FORREST CITY","AR","Public 2 Year","2167313","531"
"2272400","EASTERN COLLEGE OF HEALTH VOCATIONS","LITTLE ROCK","AR","Proprietary 2 Year","2122141","631"
"3855300","ECCLESIA COLLEGE","SPRINGDALE","AR","Private 4 Year","534680","136"
"109700","HARDING UNIVERSITY","SEARCY","AR","Private 4 Year","4787378","1200"
"109800","HENDERSON STATE UNIVERSITY","ARKADELPHIA","AR","Public 4 Year","7837079","1825"
"109900","HENDRIX COLLEGE","CONWAY","AR","Private 4 Year","1114147","266"
"3007100","HOT SPRINGS BEAUTY COLLEGE","HOT SPRINGS","AR","Proprietary 2 Year","205350","57"
"3124900","IMAGINE -  PAUL MITCHELL PARTNER SCHOOL","NORTH LITTLE ROCK","AR","Proprietary 2 Year","1389136","382"
"2330800","JEFFERSON SCHOOL OF NURSING","PINE BLUFF","AR","Private 2 Year","335633","83"
"110000","JOHN BROWN UNIVERSITY","SILOAM SPRINGS","AR","Private 4 Year","2713077","710"
"2525800","LEE'S SCHOOL OF COSMETOLOGY","NORTH LITTLE ROCK","AR","Proprietary 2 Year","95198","26"
"108800","LYON COLLEGE","BATESVILLE","AR","Private 4 Year","1264214","295"
"3254300","MARGARET'S HAIR ACADEMY","MONTICELLO","AR","Proprietary 2 Year","200117","52"
"1074100","MELLIE'S BEAUTY COLLEGE","FORT SMITH","AR","Proprietary 2 Year","393461","101"
"2348200","MID-SOUTH COMMUNITY COLLEGE","WEST MEMPHIS","AR","Public 2 Year","3364624","1042"
"1210500","NATIONAL PARK COMMUNITY COLLEGE","HOT SPRINGS","AR","Public 2 Year","6868308","1829"
"4247600","NEW BEGINNINGS BEAUTY ACADEMY","PINE BLUFF","AR","Proprietary 2 Year","10505","3"
"2284200","NEW TYLER BARBER COLLEGE INC","NORTH LITTLE ROCK","AR","Proprietary 2 Year","310721","78"
"1226100","NORTH ARKANSAS COLLEGE","HARRISON","AR","Public 2 Year","5074191","1370"
"3063300","NORTHWEST ARKANSAS COMMUNITY COLLEG","BENTONVILLE","AR","Public 2 Year","11635108","3405"
"2073700","NORTHWEST TECHNICAL INSTITUTE","SPRINGDALE","AR","Public 2 Year","704791","196"
"110200","OUACHITA BAPTIST UNIVERSITY","ARKADELPHIA","AR","Private 4 Year","1756665","415"
"2087000","OZARKA COLLEGE","MELBOURNE","AR","Public 2 Year","3748666","1035"
"792100","PAUL MITCHELL THE SCHOOL ARKANSAS","FAYETTEVILLE","AR","Proprietary 2 Year","336895","93"
"110300","PHILANDER SMITH COLLEGE","LITTLE ROCK","AR","Private 4 Year","2048900","448"
"110400","PHILLIPS COUNTY COMMUNITY COLLEGE","HELENA","AR","Public 2 Year","2807051","740"
"2202400","PROFESSIONAL COSMETOLOGY EDUC CTR","EL DORADO","AR","Proprietary 2 Year","210901","54"
"2075300","PULASKI TECHNICAL COLLEGE","NORTH LITTLE ROCK","AR","Public 2 Year","24832598","6776"
"2111100","RICH MOUNTAIN COMMUNITY COLLEGE","MENA","AR","Public 2 Year","1578112","423"
"4183400","SALON PROFESSIONAL ACADEMY (THE)","NORTH LITTLE ROCK","AR","Proprietary 2 Year","261364","60"
"2569600","SEARCY BEAUTY COLLEGE","SEARCY","AR","Proprietary 2 Year","270531","74"
"570700","SEARK COLLEGE","PINE BLUFF","AR","Public 2 Year","4528300","1255"
"110500","SHORTER COLLEGE","NORTH LITTLE ROCK","AR","Private 2 Year","1669988","425"
"2074600","SOUTH ARKANSAS COMMUNITY COLLEGE","EL DORADO","AR","Public 2 Year","4036750","1114"
"110700","SOUTHERN ARKANSAS UNIVERSITY","MAGNOLIA","AR","Public 4 Year","6774051","1552"
"773800","SOUTHERN ARKANSAS UNIVERSITY TECH","CAMDEN","AR","Public 2 Year","2131786","576"
"2339800","SOUTHERN INSTITUTE OF COSMETOLOGY","WEST MEMPHIS","AR","Proprietary 2 Year","165874","54"
"524500","U OF A COMM COLLEGE AT MORRILTON","MORRILTON","AR","Public 2 Year","4462505","1275"
"573200","UNIV AR COMMUNITY COLLEGE AT HOPE","HOPE","AR","Public 2 Year","3265833","910"
"110800","UNIV ARKANSAS FAYETTEVILLE","FAYETTEVILLE","AR","Public 4 Year","21255845","5238"
"110100","UNIV ARKANSAS LITTLE ROCK","LITTLE ROCK","AR","Public 4 Year","16202856","4250"
"108500","UNIV ARKANSAS MONTICELLO","MONTICELLO","AR","Public 4 Year","8349676","2088"
"108600","UNIV OF ARKANSAS AT PINE BLUFF","PINE BLUFF","AR","Public 4 Year","8433354","1932"
"2073500","UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE","BATESVILLE","AR","Public 2 Year","3269215","882"
"110900","UNIVERSITY OF ARKANSAS FOR MEDICAL SCIEN","LITTLE ROCK","AR","Public 4 Year","1136727","275"
"111000","UNIVERSITY OF ARKANSAS-FORT SMITH","FORT SMITH","AR","Public 4 Year","14698634","3646"
"109200","UNIVERSITY OF CENTRAL ARKANSAS","CONWAY","AR","Public 4 Year","17980523","4218"
"109400","UNIVERSITY OF THE OZARKS","CLARKSVILLE","AR","Private 4 Year","1171793","259"
"3214300","VELVATEX COLLEGE OF BEAUTY CULTURE","LITTLE ROCK","AR","Proprietary 2 Year","107615","21"
"4183100","WASHINGTON BARBER COLLEGE","LITTLE ROCK","AR","Proprietary 2 Year","652847","156"
"110600","WILLIAMS BAPTIST COLLEGE","WALNUT RIDGE","AR","Private 4 Year","1110407","267"
"1001000","AMERICAN SAMOA CMNTY COLLEGE","PAGO PAGO","AS","Public 4 Year","4634851","1250"
"4174200","ALL BEAUTY COLLEGE","FORT MOHAVE","AZ","Proprietary 2 Year","397101","102"
"2199900","AMERICAN INDIAN CLG-ASSEMBLIES GOD","PHOENIX","AZ","Private 4 Year","348662","75"
"4148700","AMERICAN INSTITUTE OF INTERIOR DESIGN","FOUNTAIN HILLS","AZ","Proprietary 2 Year","78688","18"
"2317800","AMERICAN INSTITUTE OF TECHNOLOGY","PHOENIX","AZ","Proprietary 2 Year","1817331","633"
"2263100","ANTHEM COLLEGE","PHOENIX","AZ","Proprietary 4 Year","766525","394"
"886400","ARIZONA ACADEMY OF BEAUTY","TUCSON","AZ","Proprietary 2 Year","151296","38"
"1180200","ARIZONA ACADEMY OF BEAUTY-NORTH","TUCSON","AZ","Proprietary 2 Year","211041","61"
"2306807","ARIZONA AUTOMOTIVE INSTITUTE","GLENDALE","AZ","Proprietary 4 Year","5256853","1517"
"711300","ARIZONA CHRISTIAN UNIVERSITY","PHOENIX","AZ","Private 4 Year","1114620","276"
"3115000","ARIZONA COLLEGE OF ALLIED HEALTH","GLENDALE","AZ","Proprietary 4 Year","4277338","1192"
"4120900","ARIZONA CULINARY INSTITUTE","SCOTTSDALE","AZ","Proprietary 2 Year","229800","62"
"4233100","ARIZONA SCHOOL OF INTEGRATIVE STUDIES","CLARKDALE","AZ","Proprietary 2 Year","295058","82"
"108100","ARIZONA STATE UNIV (ALL CAMPUSES)","TEMPE","AZ","Public 4 Year","107093249","27140"
"107100","ARIZONA WESTERN COLLEGE","YUMA","AZ","Public 2 Year","17084827","5156"
"4051300","ART INSTITUTE OF PHOENIX (THE)","PHOENIX","AZ","Proprietary 4 Year","82953444","22637"
"1085800","AVALON SCHOOL OF COSMETOLOGY","MESA","AZ","Proprietary 2 Year","2803933","776"
"4194500","AVEDA INSTITUTE TUCSON","TUCSON","AZ","Proprietary 2 Year","1129079","303"
"2561900","BRILLARE HAIRDRESSING ACADEMY","SCOTTSDALE","AZ","Proprietary 2 Year","14194","4"
"2218800","BROOKLINE COLLEGE","PHOENIX","AZ","Proprietary 4 Year","8642412","2550"
"3076400","BRYMAN SCHOOL OF ARIZONA (THE)","PHOENIX","AZ","Proprietary 2 Year","548594","304"
"2100600","CARRINGTON COLLEGE","PHOENIX","AZ","Proprietary 2 Year","12975571","3720"
"3097800","CARSTEN INSTITUTE OF HAIR & BEAUTY","TEMPE","AZ","Proprietary 2 Year","532097","148"
"728300","CENTRAL ARIZONA COLLEGE","COOLIDGE","AZ","Public 2 Year","12063851","3646"
"3072200","CHANDLER-GILBERT COMMUNITY COLLEGE","CHANDLER","AZ","Public 2 Year","10499296","3136"
"2280500","CHARLES OF ITALY BEAUTY COLLEGE","LAKE HAVASU CITY","AZ","Proprietary 2 Year","246442","63"
"107200","COCHISE COLLEGE","DOUGLAS","AZ","Public 2 Year","6844314","1925"
"3100400","COCONINO COUNTY COMMUNITY COLLEGE","FLAGSTAFF","AZ","Public 2 Year","3888587","1143"
"3120300","COLLEGE AMERICA","FLAGSTAFF","AZ","Proprietary 4 Year","4798677","1165"
"2160305","COLLINS COLLEGE","PHOENIX","AZ","Proprietary 4 Year","370828","98"
"3034400","CONSERVATORY RECORDING ARTS & SCIS","TEMPE","AZ","Proprietary 2 Year","1740355","471"
"2623800","CORTIVA INSTITUTE - SCOTTSDALE","SCOTTSDALE","AZ","Proprietary 2 Year","211584","68"
"2582700","CORTIVA INSTITUTE - TUCSON","TUCSON","AZ","Proprietary 2 Year","802632","268"
"824600","DIN╔ COLLEGE","TSAILE","AZ","Public 4 Year","4467508","1174"
"3572300","EAST VALLEY INSTITUTE OF TECHNOLOGY","MESA","AZ","Public 2 Year","288706","97"
"107300","EASTERN ARIZONA COLLEGE","THATCHER","AZ","Public 2 Year","4883839","1392"
"3156300","ESTRELLA MOUNTAIN COMMUNITY COLLEGE","AVONDALE","AZ","Public 2 Year","15722467","4652"
"2295000","EVEREST COLLEGE","PHOENIX","AZ","Proprietary 4 Year","14326060","3787"
"830300","GATEWAY COMMUNITY COLLEGE","PHOENIX","AZ","Public 2 Year","8649270","2747"
"107600","GLENDALE COMMUNITY COLLEGE","GLENDALE","AZ","Public 2 Year","28958491","8572"
"107400","GRAND CANYON UNIVERSITY","PHOENIX","AZ","Proprietary 4 Year","107155251","28442"
"3445300","HDS TRUCK DRIVING INSTITUTE","TUCSON","AZ","Proprietary 2 Year","287258","80"
"1218400","INTERNATIONAL ACADEMY OF HAIR DESIGN","TEMPE","AZ","Proprietary 2 Year","590206","186"
"3347300","INTERNATIONAL BAPTIST COLLEGE","CHANDLER","AZ","Private 4 Year","169159","42"
"2616700","LE CORDON BLEU COLLEGE OF CULINARY ARTS","SCOTTSDALE","AZ","Proprietary 4 Year","12141163","2994"
"107700","MESA COMMUNITY COLLEGE","MESA","AZ","Public 2 Year","28951309","8852"
"1186400","MOHAVE COMMUNITY COLLEGE","KINGMAN","AZ","Public 2 Year","7494968","2485"
"4157400","NATIONAL PARALEGAL COLLEGE","PHOENIX","AZ","Proprietary 4 Year","2899555","712"
"3813300","NORTHCENTRAL UNIVERSITY","PRESCOTT VALLEY","AZ","Proprietary 4 Year","336709","109"
"108200","NORTHERN ARIZONA UNIVERSITY","FLAGSTAFF","AZ","Public 4 Year","37807048","9515"
"1186200","NORTHLAND PIONEER COLLEGE","HOLBROOK","AZ","Public 2 Year","2587947","888"
"2623600","PARADISE VALLEY COMMUNITY COLLEGE","PHOENIX","AZ","Public 2 Year","7804979","2363"
"4174100","PAUL MITCHELL THE SCHOOL PHOENIX","PHOENIX","AZ","Proprietary 2 Year","515050","123"
"4175300","PENROSE ACADEMY","SCOTTSDALE","AZ","Proprietary 2 Year","426457","119"
"107800","PHOENIX COLLEGE","PHOENIX","AZ","Public 2 Year","21300991","6370"
"726600","PIMA COUNTY COMMUNITY COLLEGE","TUCSON","AZ","Public 2 Year","33431246","10229"
"2217100","PIMA MEDICAL INSTITUTE","TUCSON","AZ","Proprietary 4 Year","31414083","8649"
"2065300","PRESCOTT COLLEGE","PRESCOTT","AZ","Private 4 Year","994880","254"
"4177500","PURE AESTHETICS","TUCSON","AZ","Proprietary 2 Year","106436","37"
"1168900","REFRIGERATION SCHOOL","PHOENIX","AZ","Proprietary 2 Year","2747135","759"
"2177500","RIO SALADO COMMUNITY COLLEGE","TEMPE","AZ","Public 2 Year","15141887","5408"
"2113800","ROBERTO-VENN SCH OF LUTHIERY","PHOENIX","AZ","Proprietary 2 Year","120705","34"
"3005000","SAFFORD COLLEGE OF BEAUTY CULTURE","SAFFORD","AZ","Proprietary 2 Year","213703","46"
"830400","SCOTTSDALE COMMUNITY COLLEGE","SCOTTSDALE","AZ","Public 2 Year","7856813","2290"
"4217600","SESSIONS COLLEGE FOR PROFESSIONAL DESIGN","TEMPE","AZ","Proprietary 2 Year","274050","82"
"2146600","SOUTH MOUNTAIN COMMUNITY COLLEGE","PHOENIX","AZ","Public 2 Year","8658545","2519"
"3593300","SOUTHWEST INSTITUTE OF HEALING ARTS","TEMPE","AZ","Proprietary 2 Year","1959714","454"
"2491500","SOUTHWEST UNIVERSITY OF VISUAL ARTS","TUCSON","AZ","Proprietary 4 Year","777119","177"
"4152900","STUDIO ACADEMY OF BEAUTY (THE)","CHANDLER","AZ","Proprietary 2 Year","1218116","364"
"3784400","TOHONO O'ODHAM COMMUNITY COLLEGE","SELLS","AZ","Public 2 Year","476898","130"
"446700","TUCSON COLLEGE","TUCSON","AZ","Proprietary 2 Year","1295105","341"
"4059300","TUCSON COLLEGE OF BEAUTY","TUCSON","AZ","Proprietary 2 Year","301135","77"
"3814300","TURNING POINT BEAUTY COLLEGE","CASA GRANDE","AZ","Proprietary 2 Year","197352","44"
"822100","UNIVERSAL TECHNICAL INSTITUTE","AVONDALE","AZ","Proprietary 2 Year","26211120","6686"
"2100500","UNIVERSAL TECHNICAL INSTITUTE","PHOENIX","AZ","Proprietary 2 Year","21171625","5240"
"2559000","UNIVERSITY OF ADVANCING TECHNOLOGY","TEMPE","AZ","Proprietary 4 Year","1563854","387"
"108300","UNIVERSITY OF ARIZONA","TUCSON","AZ","Public 4 Year","47879947","11151"
"2098800","UNIVERSITY OF PHOENIX","PHOENIX","AZ","Proprietary 4 Year","570090096","154192"
"2171500","WESTERN INTERNATIONAL UNIVERSITY","PHOENIX","AZ","Proprietary 4 Year","1556234","460"
"107900","YAVAPAI COLLEGE","PRESCOTT","AZ","Public 2 Year","9942716","3052"
"4189800","ACADEMY FOR SALON PROFESSIONALS","CANOGA PARK","CA","Proprietary 2 Year","178957","51"
"4185700","ACADEMY FOR SALON PROFESSIONALS (THE)","SANTA CLARA","CA","Proprietary 2 Year","416655","109"
"753100","ACADEMY OF ART UNIVERSITY","SAN FRANCISCO","CA","Proprietary 4 Year","14912687","4898"
"4185500","ACADEMY OF COUTURE ART","WEST HOLLYWOOD","CA","Proprietary 4 Year","54450","15"
"4132400","ACADEMY OF ESTHETICS AND COSMETOLOGY","SYLMAR","CA","Proprietary 2 Year","194553","44"
"2342400","ACADEMY OF RADIO BROADCASTING","HUNTINGTON BEACH","CA","Proprietary 2 Year","238018","65"
"2520400","ADRIAN'S BEAUTY COLLEGE OF TURLOCK","TURLOCK","CA","Proprietary 2 Year","547416","132"
"3736300","ADVANCE BEAUTY COLLEGE","GARDEN GROVE","CA","Proprietary 2 Year","1500060","457"
"4206800","ADVANCE BEAUTY TECHS ACADEMY","SAN JACINTO","CA","Proprietary 2 Year","279945","70"
"4208900","ADVANCED CAREER INSTITUTE","VISALIA","CA","Proprietary 2 Year","583127","176"
"3786300","ADVANCED COLLEGE","SOUTH GATE","CA","Proprietary 2 Year","490296","122"
"4210600","ADVANCED COMPUTING INSTITUTE","LOS ANGELES","CA","Proprietary 2 Year","642081","148"
"3532400","ADVANCED TRAINING ASSOCIATES","EL CAJON","CA","Proprietary 2 Year","502696","113"
"2282300","ALHAMBRA BEAUTY COLLEGE","ALHAMBRA","CA","Proprietary 2 Year","376173","105"
"111100","ALLAN HANCOCK COLLEGE","SANTA MARIA","CA","Public 2 Year","10898877","3320"
"1111700","ALLIANT INTERNATIONAL UNIVERSITY","SAN DIEGO","CA","Proprietary 4 Year","523600","121"
"4189300","ALLIED AMERICAN UNIVERSITY","LAGUNA HILLS","CA","Proprietary 4 Year","5374054","1812"
