"OPEID","NAME","CITY","STATE","Type & Control","Recipients","Awards"
"4066300","CARDIAC AND VASCULAR INSTITUTE OF ULTRAS","MOBILE","AL","Proprietary 2 Year","45","259318"
"100700","CENTRAL ALABAMA COMMUNITY COLLEGE","ALEXANDER CITY","AL","Public 2 Year","2022","7777657"
"1218200","CHATTAHOOCHEE VALLEY CMTY CLG","PHENIX CITY","AL","Public 2 Year","1276","5292301"
"4121500","COLUMBIA SOUTHERN UNIVERSITY","ORANGE BEACH","AL","Proprietary 4 Year","3673","13620146"
"1055400","CONCORDIA COLLEGE","SELMA","AL","Private 4 Year","688","2891493"
"101500","ENTERPRISE STATE COMMUNITY COLLEGE","ENTERPRISE","AL","Public 2 Year","1802","7819824.9999999898"
"106000","FAULKNER STATE COMMUNITY COLLEGE","BAY MINETTE","AL","Public 2 Year","2982","11704680"
"100300","FAULKNER UNIVERSITY","MONTGOMERY","AL","Private 4 Year","2121","9761048.9999999795"
"2341000","FORTIS COLLEGE","MOBILE","AL","Proprietary 2 Year","2010","7847059"
"3361400","FORTIS COLLEGE","FOLEY","AL","Proprietary 2 Year","447","1690244"
"101700","GADSDEN STATE COMMUNITY COLLEGE","GADSDEN","AL","Public 2 Year","5554","21731528.000000101"
"101800","GEORGE C WALLACE COMMUNITY COLLEGE","DOTHAN","AL","Public 2 Year","3704","14482025"
"787100","GEORGE C WALLACE STATE CMTY CLG","HANCEVILLE","AL","Public 2 Year","4252","17067938"
"569900","GEORGE C WALLACE STATE CMTY COLLEGE","SELMA","AL","Public 2 Year","2048","8796287.0000000093"
"573400","H. COUNCILL TRENHOLM STATE TECH COLLEGE","MONTGOMERY","AL","Public 2 Year","1551","6498972"
"4187300","HAIR ACADEMY (THE)","MONTGOMERY","AL","Proprietary 2 Year","7","19425"
"2199700","HERITAGE CHRISTIAN UNIVERSITY","FLORENCE","AL","Private 4 Year","41","125162"
"962107","HERZING UNIVERSITY - BIRMINGHAM","BIRMINGHAM","AL","Proprietary 4 Year","473","1908870"
"101900","HUNTINGDON COLLEGE","MONTGOMERY","AL","Private 4 Year","484","1919156"
"3894300","HUNTSVILLE BIBLE COLLEGE","HUNTSVILLE","AL","Private 4 Year","33","133135"
"526000","J.F. DRAKE STATE TECH COLLEGE","HUNTSVILLE","AL","Public 2 Year","1336","4921881.9999999898"
"102000","JACKSONVILLE STATE UNIVERSITY","JACKSONVILLE","AL","Public 4 Year","4031","17613048.000000101"
"102100","JEFFERSON DAVIS COMMUNITY COLLEGE","BREWTON","AL","Public 2 Year","1007","3628997"
"102200","JEFFERSON STATE COMMUNITY COLLEGE","BIRMINGHAM","AL","Public 2 Year","4183","13887431"
"102300","JUDSON COLLEGE","MARION","AL","Private 4 Year","137","622880"
"105900","LAWSON STATE COMMUNITY COLLEGE","BIRMINGHAM","AL","Public 2 Year","4131","16058376"
"105901","LAWSON STATE COMMUNITY COLLEGE - BESSEME","BESSEMER","AL","Public 2 Year","258","1020628"
"898800","LURLEEN B WALLACE COMMUNITY COLLEGE","ANDALUSIA","AL","Public 2 Year","1431","6168226.9999999898"
"102600","MARION MILITARY INSTITUTE","MARION","AL","Public 2 Year","207","903762.00000000105"
"102800","MILES COLLEGE","FAIRFIELD","AL","Private 4 Year","1529","7438728"
"4187200","NEW BEGINNING COLLEGE OF COSMETOLOGY","ALBERTVILLE","AL","Proprietary 2 Year","8","20425"
"103100","NORTHEAST ALABAMA STATE CMNTY COLG","RAINSVILLE","AL","Public 2 Year","2805","11909485"
"569700","NORTHWEST- SHOALS COMMUNITY COLLEGE","MUSCLE SHOALS","AL","Public 2 Year","2360","9044080.9999999907"
"569702","NORTHWEST-SHOALS C.C.-PHIL CAMPBELL","PHIL CAMPBELL","AL","Public 2 Year","664","2555388"
"103300","OAKWOOD COLLEGE","HUNTSVILLE","AL","Private 4 Year","969","4009029"
"2285000","PAUL MITCHELL THE SCHOOL HUNTSVILLE","MADISON","AL","Proprietary 2 Year","119","505923"
"2296000","PRINCE INSTITUTE OF PROFESSIONAL STUDIES","MONTGOMERY","AL","Proprietary 2 Year","98","440945"
"569200","REID STATE TECHNICAL COLLEGE","EVERGREEN","AL","Public 2 Year","690","3067752"
"2605500","REMINGTON COLLEGE - MOBILE CAMPUS","MOBILE","AL","Proprietary 4 Year","4565","18506209"
"103600","SAMFORD UNIVERSITY","BIRMINGHAM","AL","Private 4 Year","510","2013531"
"4067300","SELMA UNIVERSITY","SELMA","AL","Private 4 Year","597","2784284"
"569100","SHELTON STATE COMMUNITY CLG","TUSCALOOSA","AL","Public 2 Year","3694","13050880"
"103800","SNEAD STATE COMMUNITY COLLEGE","BOAZ","AL","Public 2 Year","1620","6245363"
"2270400","SOUTHEASTERN BIBLE COLLEGE","BIRIMINGHAM","AL","Private 4 Year","111","401064"
"3459300","SOUTHEASTERN SCHOOL OF COSMETOLOGY","MIDFIELD","AL","Private 2 Year","155","697855"
"104000","SOUTHERN UNION STATE COMMUNITY CLG","WADLEY","AL","Public 2 Year","2577","10335322"
"104100","SPRING HILL COLLEGE","MOBILE","AL","Private 4 Year","524","2156071"
"104400","STILLMAN COLLEGE","TUSCALOOSA","AL","Private 4 Year","836","4285925"
"104600","TALLADEGA COLLEGE","TALLADEGA","AL","Private 4 Year","597","2977347"
"104700","TROY UNIVERSITY","TROY","AL","Public 4 Year","12121","45343083.999999903"
"105000","TUSKEGEE UNIVERSITY","TUSKEGEE","AL","Private 4 Year","1593","7492750"
"2170600","UNITED STATES SPORTS ACADEMY","DAPHNE","AL","Private 4 Year","99","287343"
"105100","UNIVERSITY OF ALABAMA (THE)","TUSCALOOSA","AL","Public 4 Year","5904","24818325"
"105200","UNIVERSITY OF ALABAMA AT BIRMINGHAM","BIRMINGHAM","AL","Public 4 Year","4097","18029994"
"105500","UNIVERSITY OF ALABAMA IN HUNTSVILLE","HUNTSVILLE","AL","Public 4 Year","2048","8561260.0000000093"
"102900","UNIVERSITY OF MOBILE","MOBILE","AL","Private 4 Year","807","3152162"
"100400","UNIVERSITY OF MONTEVALLO","MONTEVALLO","AL","Public 4 Year","1059","4807936.9999999898"
"101600","UNIVERSITY OF NORTH ALABAMA","FLORENCE","AL","Public 4 Year","2402","10332977"
"105700","UNIVERSITY OF SOUTH ALABAMA","MOBILE","AL","Public 4 Year","4520","18546725"
"102400","UNIVERSITY OF WEST ALABAMA","LIVINGSTON","AL","Public 4 Year","1369","6457433"
"3010600","VIRGINIA COLLEGE","BIRMINGHAM","AL","Proprietary 4 Year","23870","95191978.9999993"
"4149200","XCELL ACADEMY-A PAUL MITCHELL PARTNER SC","HOOVER","AL","Proprietary 2 Year","142","585713"
"3065100","ABC BEAUTY COLLEGE","ARKADELPHIA","AR","Proprietary 2 Year","61","263761"
"108700","ARKANSAS BAPTIST COLLEGE","LITTLE ROCK","AR","Private 4 Year","1090","4863365"
"3997300","ARKANSAS BEAUTY COLLEGE","RUSSELLVILLE","AR","Proprietary 2 Year","47","150653"
"3005100","ARKANSAS BEAUTY SCHOOL","LITTLE ROCK","AR","Proprietary 2 Year","59","262643"
"3007600","ARKANSAS BEAUTY SCHOOL-CONWAY","CONWAY","AR","Proprietary 2 Year","70","263939"
"3023400","ARKANSAS COLLEGE OF BARBERING","NORTH LITTLE ROCK","AR","Proprietary 2 Year","124","565268"
"1286000","ARKANSAS NORTHEASTERN COLLEGE","BLYTHEVILLE","AR","Public 2 Year","1323","4523048"
"109000","ARKANSAS STATE UNIVERSITY","STATE UNIVERSITY","AR","Public 4 Year","7258","30820076"
"109100","ARKANSAS STATE UNIVERSITY - BEEBE","BEEBE","AR","Public 2 Year","1753","6710672.0000000102"
"108900","ARKANSAS TECH UNIVERSITY","RUSSELLVILLE","AR","Public 4 Year","4777","19969916.999999899"
"108906","ARKANSAS VALLEY TECHNICAL INSTITUTE","OZARK","AR","Public 4 Year","1","2775"
"2363500","ARTHUR'S BEAUTY COLLEGE","FORT SMITH","AR","Proprietary 2 Year","57","208107"
"2538500","ARTHUR'S BEAUTY COLLEGE","JACKSONVILLE","AR","Proprietary 2 Year","177","729765"
"3127200","ASKINS VO-TECH","FORT SMITH","AR","Proprietary 2 Year","14","29776"
"3105200","BAPTIST HEALTH SCHOOLS LITTLE ROCK","LITTLE ROCK","AR","Private 2 Year","507","1800659"
"2260400","BEE JAY'S HAIRSTYLING ACADEMY","LITTLE ROCK","AR","Proprietary 2 Year","59","239879"
"2052200","BLACK RIVER TECHNICAL COLLEGE","POCAHONTAS","AR","Public 2 Year","2047","8234471"
"2341700","CAREER ACADEMY OF HAIR DESIGN","SPRINGDALE","AR","Proprietary 2 Year","199","798029"
"109300","CENTRAL BAPTIST COLLEGE","CONWAY","AR","Private 4 Year","370","1421620"
"2220900","COSSATOT COMMUNITY COLLEGE","DE QUEEN","AR","Public 2 Year","871","3494363"
"3912300","CROSSETT SCHOOL OF COSMETOLOGY","CROSSETT","AR","Proprietary 2 Year","35","121015"
"109500","CROWLEYS RIDGE COLLEGE","PARAGOULD","AR","Private 4 Year","115","501865"
"704400","CROWLEYS RIDGE TECHNICAL INSTITUTE","FORREST CITY","AR","Public 2 Year","283","1142261"
"1226000","EAST ARKANSAS COMMUNITY COLLEGE","FORREST CITY","AR","Public 2 Year","868","3397215"
"2272400","EASTERN COLLEGE OF HEALTH VOCATIONS","LITTLE ROCK","AR","Proprietary 2 Year","857","2707854"
"3855300","ECCLESIA COLLEGE","SPRINGDALE","AR","Private 4 Year","83","310257"
"109700","HARDING UNIVERSITY","SEARCY","AR","Private 4 Year","1220","5101697"
"109800","HENDERSON STATE UNIVERSITY","ARKADELPHIA","AR","Public 4 Year","1870","8353141"
"109900","HENDRIX COLLEGE","CONWAY","AR","Private 4 Year","299","1220389"
"3007100","HOT SPRINGS BEAUTY COLLEGE","HOT SPRINGS","AR","Proprietary 2 Year","74","327341"
"3124900","IMAGINE -  PAUL MITCHELL PARTNER SCHOOL","NORTH LITTLE ROCK","AR","Proprietary 2 Year","361","1556769"
"2330800","JEFFERSON SCHOOL OF NURSING","PINE BLUFF","AR","Private 2 Year","47","159552"
"110000","JOHN BROWN UNIVERSITY","SILOAM SPRINGS","AR","Private 4 Year","697","2646255"
"2525800","LEE'S SCHOOL OF COSMETOLOGY","NORTH LITTLE ROCK","AR","Proprietary 2 Year","33","162029"
"3519400","LYNNDALE FUNDAMENTALS OF BEAUTY SCH","EL DORADO","AR","Proprietary 2 Year","21","70854"
"108800","LYON COLLEGE","BATESVILLE","AR","Private 4 Year","286","1234915"
"3254300","MARGARET'S HAIR ACADEMY","MONTICELLO","AR","Proprietary 2 Year","62","214044"
"2287400","MARSHA KAY BEAUTY COLLEGE","MOUNTAIN HOME","AR","Proprietary 2 Year","21","62051"
"1074100","MELLIE'S BEAUTY COLLEGE","FORT SMITH","AR","Proprietary 2 Year","76","327342"
"2348200","MID-SOUTH COMMUNITY COLLEGE","WEST MEMPHIS","AR","Public 2 Year","1813","5718110"
"1210500","NATIONAL PARK COMMUNITY COLLEGE","HOT SPRINGS","AR","Public 2 Year","2795","10933901"
"2284200","NEW TYLER BARBER COLLEGE INC","NORTH LITTLE ROCK","AR","Proprietary 2 Year","94","448933"
"1226100","NORTH ARKANSAS COLLEGE","HARRISON","AR","Public 2 Year","1797","6945488.0000000102"
"3063300","NORTHWEST ARKANSAS COMMUNITY COLLEG","BENTONVILLE","AR","Public 2 Year","3880","13051409"
"2073700","NORTHWEST TECHNICAL INSTITUTE","SPRINGDALE","AR","Public 2 Year","238","865649"
"110200","OUACHITA BAPTIST UNIVERSITY","ARKADELPHIA","AR","Private 4 Year","441","1760769"
"997600","OUACHITA TECHNICAL COLLEGE","MALVERN","AR","Public 2 Year","721","2635765"
"2087000","OZARKA COLLEGE","MELBOURNE","AR","Public 2 Year","1451","5773268"
"792100","PAUL MITCHELL THE SCHOOL ARKANSAS","FAYETTEVILLE","AR","Proprietary 2 Year","92","379460"
"110300","PHILANDER SMITH COLLEGE","LITTLE ROCK","AR","Private 4 Year","567","2577849"
"110400","PHILLIPS COUNTY COMMUNITY COLLEGE","HELENA","AR","Public 2 Year","1142","4257060"
"2202400","PROFESSIONAL COSMETOLOGY EDUC CTR","EL DORADO","AR","Proprietary 2 Year","59","291054"
"2075300","PULASKI TECHNICAL COLLEGE","NORTH LITTLE ROCK","AR","Public 2 Year","8531","32465827.000000101"
"2111100","RICH MOUNTAIN COMMUNITY COLLEGE","MENA","AR","Public 2 Year","598","2285562"
"4183400","SALON PROFESSIONAL ACADEMY (THE)","NORTH LITTLE ROCK","AR","Proprietary 2 Year","17","69259"
"2569600","SEARCY BEAUTY COLLEGE","SEARCY","AR","Proprietary 2 Year","52","203703"
"570700","SEARK COLLEGE","PINE BLUFF","AR","Public 2 Year","1482","5538183"
"2074600","SOUTH ARKANSAS COMMUNITY COLLEGE","EL DORADO","AR","Public 2 Year","1221","4811799"
"110700","SOUTHERN ARKANSAS UNIVERSITY","MAGNOLIA","AR","Public 4 Year","1742","7821189"
"773800","SOUTHERN ARKANSAS UNIVERSITY TECH","CAMDEN","AR","Public 2 Year","745","2764362"
"2339800","SOUTHERN INSTITUTE OF COSMETOLOGY","WEST MEMPHIS","AR","Proprietary 2 Year","134","530051"
"524500","U OF A COMM COLLEGE AT MORRILTON","MORRILTON","AR","Public 2 Year","1717","6333143"
"573200","UNIV AR COMMUNITY COLLEGE AT HOPE","HOPE","AR","Public 2 Year","1194","4285387"
"110800","UNIV ARKANSAS FAYETTEVILLE","FAYETTEVILLE","AR","Public 4 Year","4619","19304616"
"110100","UNIV ARKANSAS LITTLE ROCK","LITTLE ROCK","AR","Public 4 Year","4635","17973054"
"108500","UNIV ARKANSAS MONTICELLO","MONTICELLO","AR","Public 4 Year","2438","10124571"
"108600","UNIV OF ARKANSAS AT PINE BLUFF","PINE BLUFF","AR","Public 4 Year","2550","11861043"
"2073500","UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE","BATESVILLE","AR","Public 2 Year","1359","5258167"
"110900","UNIVERSITY OF ARKANSAS FOR MEDICAL SCIEN","LITTLE ROCK","AR","Public 4 Year","344","1471598"
"111000","UNIVERSITY OF ARKANSAS-FORT SMITH","FORT SMITH","AR","Public 4 Year","4473","17561771"
"109200","UNIVERSITY OF CENTRAL ARKANSAS","CONWAY","AR","Public 4 Year","4034","16998901.000000101"
"109400","UNIVERSITY OF THE OZARKS","CLARKSVILLE","AR","Private 4 Year","271","1124835"
"3214300","VELVATEX COLLEGE OF BEAUTY CULTURE","LITTLE ROCK","AR","Proprietary 2 Year","15","91356"
"4183100","WASHINGTON BARBER COLLEGE","LITTLE ROCK","AR","Proprietary 2 Year","16","57131"
"110600","WILLIAMS BAPTIST COLLEGE","WALNUT RIDGE","AR","Private 4 Year","330","1360206"
"1001000","AMERICAN SAMOA CMNTY COLLEGE","PAGO PAGO","AS","Public 2 Year","1916","6813315"
"4174200","ALL BEAUTY COLLEGE","FORT MOHAVE","AZ","Proprietary 2 Year","47","252608"
"2199900","AMERICAN INDIAN CLG-ASSEMBLIES GOD","PHOENIX","AZ","Private 4 Year","89","343191"
"4148700","AMERICAN INSTITUTE OF INTERIOR DESIGN","FOUNTAIN HILLS","AZ","Proprietary 2 Year","9","40855"
"2317800","AMERICAN INSTITUTE OF TECHNOLOGY","PHOENIX","AZ","Proprietary 2 Year","1068","3508529"
"2263100","ANTHEM COLLEGE","PHOENIX","AZ","Proprietary 4 Year","4372","18211304"
"886400","ARIZONA ACADEMY OF BEAUTY","TUCSON","AZ","Proprietary 2 Year","86","338426"
"1180200","ARIZONA ACADEMY OF BEAUTY-NORTH","TUCSON","AZ","Proprietary 2 Year","73","279696"
"1084700","ARIZONA AUTOMOTIVE INSTITUTE","GLENDALE","AZ","Proprietary 2 Year","2255","10778832"
"3115000","ARIZONA COLLEGE OF ALLIED HEALTH","GLENDALE","AZ","Proprietary 2 Year","865","3264262"
"4120900","ARIZONA CULINARY INSTITUTE","SCOTTSDALE","AZ","Proprietary 2 Year","94","328253"
"108100","ARIZONA STATE UNIV (ALL CAMPUSES)","TEMPE","AZ","Public 4 Year","22997","93418979"
"107100","ARIZONA WESTERN COLLEGE","YUMA","AZ","Public 2 Year","5835","19683434"
"4051300","ART INSTITUTE OF PHOENIX (THE)","PHOENIX","AZ","Proprietary 4 Year","2006","7551962"
"4051306","ART INSTITUTE OF PHOENIX (THE) - ART INS","TUCSON","AZ","Proprietary 4 Year","419","1762037"
"4051325","ART INSTITUTE OF PHOENIX (THE) - BROWN M","TUCSON","AZ","Proprietary 4 Year","5342","22159725.999999899"
"1293700","ARTISTIC BEAUTY COLLEGES - PARADISE VALL","SCOTTSDALE","AZ","Proprietary 2 Year","102","473913"
"1180800","ARTISTIC BEAUTY COLLEGES-FLAGSTAFF","FLAGSTAFF","AZ","Proprietary 2 Year","361","1536549"
"2220300","ARTISTIC BEAUTY COLLEGES-GLENDALE","PHOENIX","AZ","Proprietary 2 Year","310","1306432"
"1234300","ARTISTIC BEAUTY COLLEGES-PHOENIX","GLENDALE","AZ","Proprietary 2 Year","332","1343736"
"886500","ARTISTIC BEAUTY COLLEGES-TUCSON","TUCSON","AZ","Proprietary 2 Year","353","1516462"
"1085800","AVALON SCHOOL OF COSMETOLOGY","MESA","AZ","Proprietary 2 Year","575","2413399"
"2561900","BRILLARE HAIRDRESSING ACADEMY","SCOTTSDALE","AZ","Proprietary 2 Year","179","793178"
"2218800","BROOKLINE COLLEGE","PHOENIX","AZ","Proprietary 4 Year","4971","17250868"
"3076400","BRYMAN SCHOOL OF ARIZONA","PHOENIX","AZ","Proprietary 2 Year","3904","13595041"
"2100600","CARRINGTON COLLEGE","PHOENIX","AZ","Proprietary 4 Year","4546","18380089"
"3097800","CARSTEN INSTITUTE OF HAIR & BEAUTY","TEMPE","AZ","Proprietary 2 Year","154","630494"
"4172100","CCIC BEAUTY COLLEGE","PEORIA","AZ","Proprietary 2 Year","19","64415"
"728300","CENTRAL ARIZONA COLLEGE","COOLIDGE","AZ","Public 2 Year","3985","13443972"
"3072200","CHANDLER-GILBERT COMMUNITY COLLEGE","CHANDLER","AZ","Public 2 Year","3506","11436080"
"2280500","CHARLES OF ITALY BEAUTY COLLEGE","LAKE HAVASU CITY","AZ","Proprietary 2 Year","100","396466"
"107200","COCHISE COLLEGE","DOUGLAS","AZ","Public 2 Year","2229","7651724.9999999898"
"3100400","COCONINO COUNTY COMMUNITY COLLEGE","FLAGSTAFF","AZ","Public 2 Year","1564","5379725"
"3120300","COLLEGE AMERICA","FLAGSTAFF","AZ","Proprietary 4 Year","818","4912631.9999999898"
"2160305","COLLINS COLLEGE","PHOENIX","AZ","Proprietary 4 Year","1144","6112105"
"3034400","CONSERVATORY RECORDING ARTS & SCIS","TEMPE","AZ","Proprietary 2 Year","560","1976729"
"2623800","CORTIVA INSTITUTE - SCOTTSDALE","SCOTTSDALE","AZ","Proprietary 2 Year","113","318127"
"2582700","CORTIVA INSTITUTE - TUCSON","TUCSON","AZ","Proprietary 2 Year","216","635723"
"824600","DIN?COLLEGE","TSAILE","AZ","Public 4 Year","1857","7250883.9999999804"
"3572300","EAST VALLEY INSTITUTE OF TECHNOLOGY","MESA","AZ","Public 2 Year","71","235528"
"107300","EASTERN ARIZONA COLLEGE","THATCHER","AZ","Public 2 Year","1938","7081448"
"3156300","ESTRELLA MOUNTAIN COMMUNITY COLLEGE","AVONDALE","AZ","Public 2 Year","4368","14041262"
"2295000","EVEREST COLLEGE","PHOENIX","AZ","Proprietary 4 Year","6341","27845203.000000101"
"2533200","FRANK LLOYD WRIGHT SCHOOL OF ARCHITECTUR","SCOTTSDALE","AZ","Private 4 Year","2","2677"
"830300","GATEWAY COMMUNITY COLLEGE","PHOENIX","AZ","Public 2 Year","3153","9297204"
"107600","GLENDALE COMMUNITY COLLEGE","GLENDALE","AZ","Public 2 Year","9337","30636347"
"107400","GRAND CANYON UNIVERSITY","PHOENIX","AZ","Proprietary 4 Year","20401","83171973.999999896"
"3445300","HDS TRUCK DRIVING INSTITUTE","TUCSON","AZ","Proprietary 2 Year","64","222808"
"1218400","INTERNATIONAL ACAD OF HAIR DESIGN","CHANDLER","AZ","Proprietary 2 Year","287","1120523"
"3347300","INTERNATIONAL BAPTIST COLLEGE","CHANDLER","AZ","Private 4 Year","38","153142"
"732911","ITT TECHNICAL INSTITUTE","TEMPE","AZ","Proprietary 4 Year","2896","14024131"
"732990","ITT TECHNICAL INSTITUTE","TUCSON","AZ","Proprietary 4 Year","2382","11930065"
"2071200","KAPLAN COLLEGE","PHOENIX","AZ","Proprietary 2 Year","539","2440628"
"4175300","KOHLER ACADEMY","SCOTTSDALE","AZ","Proprietary 2 Year","70","313342"
"2521500","LAMSON COLLEGE","TEMPE","AZ","Proprietary 2 Year","262","978070"
"2616700","LE CORDON BLEU COLLEGE OF CULINARY ARTS","SCOTTSDALE","AZ","Proprietary 4 Year","2030","9568447.0000000093"
"2192300","MARICOPA BEAUTY COLLEGE","AVONDALE","AZ","Proprietary 2 Year","132","590516"
"107700","MESA COMMUNITY COLLEGE","MESA","AZ","Public 2 Year","11286","37651882.000000097"
"1186400","MOHAVE COMMUNITY COLLEGE","KINGMAN","AZ","Public 2 Year","4103","13077073"
"4157400","NATIONAL PARALEGAL COLLEGE","PHOENIX","AZ","Proprietary 4 Year","270","942280"
"3813300","NORTHCENTRAL UNIVERSITY","PRESCOTT VALLEY","AZ","Proprietary 4 Year","129","308611"
"108200","NORTHERN ARIZONA UNIVERSITY","FLAGSTAFF","AZ","Public 4 Year","8161","33189629"
"1186200","NORTHLAND PIONEER COLLEGE","HOLBROOK","AZ","Public 2 Year","1235","3527102"
"2623600","PARADISE VALLEY COMMUNITY COLLEGE","PHOENIX","AZ","Public 2 Year","2713","8644330"
"4174100","PAUL MITCHELL THE SCHOOL PHOENIX","PHOENIX","AZ","Proprietary 2 Year","107","452551"
"107800","PHOENIX COLLEGE","PHOENIX","AZ","Public 2 Year","6883","22900216"
"726600","PIMA COUNTY COMMUNITY COLLEGE","TUCSON","AZ","Public 2 Year","14971","52463504.000000298"
"2217100","PIMA MEDICAL INSTITUTE","TUCSON","AZ","Proprietary 2 Year","8342","33276746"
"2065300","PRESCOTT COLLEGE","PRESCOTT","AZ","Private 4 Year","443","2111835"
"4177500","PURE AESTHETICS","TUCSON","AZ","Proprietary 2 Year","4","7833"
"1168900","REFRIGERATION SCHOOL","PHOENIX","AZ","Proprietary 2 Year","711","2755096"
"2177500","RIO SALADO COMMUNITY COLLEGE","TEMPE","AZ","Public 2 Year","9848","25074747"
"2113800","ROBERTO-VENN SCH OF LUTHIERY","PHOENIX","AZ","Proprietary 2 Year","22","80287"
"3005000","SAFFORD COLLEGE OF BEAUTY CULTURE","SAFFORD","AZ","Proprietary 2 Year","59","385701"
"830400","SCOTTSDALE COMMUNITY COLLEGE","SCOTTSDALE","AZ","Public 2 Year","2604","9002931"
"2146600","SOUTH MOUNTAIN COMMUNITY COLLEGE","PHOENIX","AZ","Public 2 Year","2621","9304934.0000000093"
"3593300","SOUTHWEST INSTITUTE OF HEALING ARTS","TEMPE","AZ","Proprietary 2 Year","423","1703567"
"711300","SOUTHWESTERN COLLEGE","PHOENIX","AZ","Private 4 Year","200","784963.99999999895"
"4152900","STUDIO ACADEMY OF BEAUTY (THE)","CHANDLER","AZ","Proprietary 2 Year","141","512163"
"2491500","THE ART CENTER DESIGN COLLEGE","TUCSON","AZ","Proprietary 4 Year","417","1883791"
"3784400","TOHONO O'ODHAM COMMUNITY COLLEGE","SELLS","AZ","Public 2 Year","70","209291"
"446700","TUCSON COLLEGE","TUCSON","AZ","Proprietary 2 Year","645","2369589"
"4059300","TUCSON COLLEGE OF BEAUTY","TUCSON","AZ","Proprietary 2 Year","93","361816"
"3814300","TURNING POINT BEAUTY COLLEGE","CASA GRANDE","AZ","Proprietary 2 Year","75","370731"
"4139200","UNIVERSAL BARBER COLLEGE","PHOENIX","AZ","Proprietary 2 Year","64","267980"
"822100","UNIVERSAL TECHNICAL INSTITUTE","AVONDALE","AZ","Proprietary 2 Year","9333","45922523.000000097"
"2100500","UNIVERSAL TECHNICAL INSTITUTE","PHOENIX","AZ","Proprietary 2 Year","8357","41381153"
"2559000","UNIVERSITY OF ADVANCING TECHNOLOGY","TEMPE","AZ","Proprietary 4 Year","525","2341275"
"108300","UNIVERSITY OF ARIZONA","TUCSON","AZ","Public 4 Year","10098","43605198.000000097"
"2098800","UNIVERSITY OF PHOENIX","PHOENIX","AZ","Proprietary 4 Year","279994","1208452160.00003"
"2171500","WESTERN INTERNATIONAL UNIVERSITY","PHOENIX","AZ","Proprietary 4 Year","1306","4446901"
"107900","YAVAPAI COLLEGE","PRESCOTT","AZ","Public 2 Year","2977","9565458.9999999795"
"4189800","ACADEMY FOR SALON PROFESSIONALS","CANOGA PARK","CA","Proprietary 2 Year","14","55424"
"4185700","ACADEMY FOR SALON PROFESSIONALS (THE)","SANTA CLARA","CA","Proprietary 2 Year","26","84974"
"753100","ACADEMY OF ART UNIVERSITY","SAN FRANCISCO","CA","Proprietary 4 Year","6243","19086550"
"4109300","ACADEMY OF BARBERING ARTS (THE)","NORTHRIDGE","CA","Proprietary 2 Year","226","907072"
"4132400","ACADEMY OF ESTHETICS AND COSMETOLOGY","SYLMAR","CA","Proprietary 2 Year","48","211010"
